feature,importance
numeric__Alcohol_Intake,0.07392679288369958
numeric__BMI,0.07220472095727226
numeric__Triglycerides,0.06964662394245776
numeric__Glucose,0.06679453449759887
numeric__Salt_Intake,0.06651615104817292
numeric__Cholesterol,0.066064071146204
numeric__LDL,0.06522136324675125
numeric__Systolic_BP,0.062331532578571894
numeric__HDL,0.06053911390940242
numeric__Sleep_Duration,0.058876698938324076
numeric__Diastolic_BP,0.05810244370991819
numeric__Age,0.05736879239858744
numeric__Heart_Rate,0.05632783961166426
numeric__Stress_Level,0.030629615193761506
categorical__Physical_Activity_Level_Moderate,0.006015886801699097
categorical__Education_Level_Tertiary,0.006013275327883409
categorical__Employment_Status_Unemployed,0.005946576071118832
categorical__Employment_Status_Employed,0.005921687978798567
categorical__Education_Level_Primary,0.005917667780910881
categorical__Smoking_Status_Former,0.005912110765760276
categorical__Employment_Status_Retired,0.005907726587948728
categorical__Smoking_Status_Current,0.005894583392564316
categorical__Physical_Activity_Level_Low,0.005867005912446396
categorical__Physical_Activity_Level_High,0.005801767358601224
categorical__Education_Level_Secondary,0.005795399586403965
categorical__Smoking_Status_Never,0.005749800813472872
categorical__Diabetes_No,0.004816775634532372
categorical__Family_History_Yes,0.004746651494480135
categorical__Diabetes_Yes,0.004740962234157334
categorical__Family_History_No,0.004719027350185451
categorical__Gender_Female,0.0046975657321225725
categorical__Gender_Male,0.004660707874964038
categorical__Country_South Africa,0.0019285695946201326
categorical__Country_Brazil,0.0019240137598886713
categorical__Country_Australia,0.0019213347834774485
categorical__Country_India,0.0019177652085677192
categorical__Country_UK,0.0019063397122298395
categorical__Country_France,0.001902258836093271
categorical__Country_Russia,0.0018725875922377092
categorical__Country_South Korea,0.0018425795675891638
categorical__Country_Saudi Arabia,0.0018251130499203595
categorical__Country_Spain,0.0017990372328653352
categorical__Country_Turkey,0.0017911056477216433
categorical__Country_Italy,0.0017910310401056122
categorical__Country_Japan,0.0017906347629274818
categorical__Country_USA,0.0017894043346816935
categorical__Country_Germany,0.001789027632246893
categorical__Country_Canada,0.001749941363349578
categorical__Country_Argentina,0.0017248481237269139
categorical__Country_China,0.0016890561692081815
categorical__Country_Indonesia,0.0016874456277495757
categorical__Country_Mexico,0.0016824332003558488
